"id","user","message","timestamp"
4,2,"Dạ vâng, hk s anh, e hiểu ạ. Về CV thì mình cũng có thể udpate sau cũng hk vấn đề gì ạ ^^","2024-10-28T15:55:24.995Z"
5,2,"Về thời điểm, e nghĩ chắc cũng khó để nói là khi nào, nhưng nếu đc e cũng rất mong được sắp xếp 1 buổi cafe trò chuyện thêm","2024-10-28T15:55:34.995Z"
